"filename", "language", "Java", "YAML", "Java Properties", "MS SQL", "XML", "Batch", "Docker", "TypeScript JSX", "PostCSS", "TypeScript", "Properties", "JSON with Comments", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/config/WebConfig.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/crypto/AesCryptoService.java", "Java", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/init/DataInitializer.java", "Java", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 136
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/oplog/OperationLogService.java", "Java", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/oplog/entity/OperationLog.java", "Java", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 85
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/oplog/repo/OperationLogRepository.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/PolicyController.java", "Java", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 94
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/PolicyService.java", "Java", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 283
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/entity/PolicyDoc.java", "Java", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 108
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/entity/PolicyDocChunk.java", "Java", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/repo/PolicyDocChunkRepository.java", "Java", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/Users/shenyc/code/se/school_manager/backend/src/main/java/com/schoolmanager/backend/policy/repo/PolicyDocRepository.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
